role_id,role_name
1,Analyst_1
2,Manager_2
3,User_3
4,User_4
5,Manager_5
6,Analyst_6
7,Admin_7
8,Admin_8
9,Analyst_9
10,Admin_10
11,Supervisor_11
12,Admin_12
13,User_13
14,Supervisor_14
15,User_15
16,Operator_16
17,Supervisor_17
18,Supervisor_18
19,Analyst_19
20,Admin_20
21,Admin_21
22,Supervisor_22
23,Analyst_23
24,Admin_24
25,Supervisor_25
26,User_26
27,Analyst_27
28,Supervisor_28
29,Admin_29
30,Operator_30
31,Analyst_31
32,Admin_32
33,User_33
34,Manager_34
35,Manager_35
36,Admin_36
37,Supervisor_37
38,Admin_38
39,Admin_39
40,Analyst_40
41,Manager_41
42,Supervisor_42
43,Manager_43
44,Admin_44
45,Supervisor_45
46,Manager_46
47,Admin_47
48,User_48
49,Admin_49
50,Admin_50
51,Operator_51
52,User_52
53,Analyst_53
54,User_54
55,Supervisor_55
56,Operator_56
57,Operator_57
58,Operator_58
59,Manager_59
60,Admin_60
61,User_61
62,Analyst_62
63,Admin_63
64,Supervisor_64
65,Manager_65
66,Analyst_66
67,Supervisor_67
68,Supervisor_68
69,Operator_69
70,Admin_70
71,User_71
72,Admin_72
73,Admin_73
74,Operator_74
75,User_75
76,Manager_76
77,Supervisor_77
78,User_78
79,Admin_79
80,Analyst_80
81,Admin_81
82,Admin_82
83,Analyst_83
84,Supervisor_84
85,Manager_85
86,Analyst_86
87,Admin_87
88,Manager_88
89,User_89
90,Operator_90
91,Analyst_91
92,Manager_92
93,Manager_93
94,Admin_94
95,User_95
96,Manager_96
97,Manager_97
98,Supervisor_98
99,Analyst_99
100,Analyst_100
101,Admin_101
102,Supervisor_102
103,Manager_103
104,Analyst_104
105,Manager_105
106,Supervisor_106
107,Supervisor_107
108,Admin_108
109,Manager_109
110,User_110
111,User_111
112,Analyst_112
113,User_113
114,User_114
115,Manager_115
116,Manager_116
117,Supervisor_117
118,Manager_118
119,Supervisor_119
120,Operator_120
121,Manager_121
122,Supervisor_122
123,Operator_123
124,Operator_124
125,User_125
126,Manager_126
127,Analyst_127
128,Supervisor_128
129,Manager_129
130,User_130
131,Manager_131
132,Manager_132
133,Admin_133
134,Admin_134
135,Operator_135
136,Admin_136
137,Analyst_137
138,Operator_138
139,Analyst_139
140,Analyst_140
141,Analyst_141
142,Operator_142
143,User_143
144,Supervisor_144
145,Operator_145
146,Manager_146
147,Manager_147
148,User_148
149,Admin_149
150,Manager_150
151,User_151
152,Operator_152
153,Analyst_153
154,Supervisor_154
155,Supervisor_155
156,Supervisor_156
157,User_157
158,User_158
159,Manager_159
160,Manager_160
161,Manager_161
162,Operator_162
163,Manager_163
164,User_164
165,Analyst_165
166,Operator_166
167,Analyst_167
168,User_168
169,Admin_169
170,Admin_170
171,Supervisor_171
172,User_172
173,Manager_173
174,Supervisor_174
175,Supervisor_175
176,User_176
177,Analyst_177
178,User_178
179,Admin_179
180,Analyst_180
181,User_181
182,Manager_182
183,Supervisor_183
184,Analyst_184
185,Supervisor_185
186,Analyst_186
187,Supervisor_187
188,Manager_188
189,Manager_189
190,Analyst_190
191,Supervisor_191
192,Manager_192
193,User_193
194,Analyst_194
195,Manager_195
196,User_196
197,Analyst_197
198,Supervisor_198
199,Supervisor_199
200,Manager_200
201,Analyst_201
202,User_202
203,Manager_203
204,Analyst_204
205,Admin_205
206,Manager_206
207,Admin_207
208,Analyst_208
209,Analyst_209
210,Operator_210
211,User_211
212,Operator_212
213,Supervisor_213
214,Admin_214
215,Supervisor_215
216,Manager_216
217,Admin_217
218,Admin_218
219,Admin_219
220,User_220
221,Analyst_221
222,User_222
223,Manager_223
224,Analyst_224
225,Admin_225
226,Operator_226
227,Manager_227
228,Operator_228
229,Admin_229
230,Admin_230
231,User_231
232,Supervisor_232
233,Analyst_233
234,Supervisor_234
235,User_235
236,Manager_236
237,Manager_237
238,Operator_238
239,Analyst_239
240,Analyst_240
241,User_241
242,Supervisor_242
243,Supervisor_243
244,Manager_244
245,User_245
246,Manager_246
247,Manager_247
248,Supervisor_248
249,Analyst_249
250,Supervisor_250
251,User_251
252,Operator_252
253,Manager_253
254,Supervisor_254
255,Admin_255
256,Analyst_256
257,Manager_257
258,Supervisor_258
259,Supervisor_259
260,Manager_260
261,Supervisor_261
262,Admin_262
263,User_263
264,Analyst_264
265,User_265
266,Analyst_266
267,Operator_267
268,Supervisor_268
269,Manager_269
270,Admin_270
271,Admin_271
272,Analyst_272
273,Admin_273
274,Admin_274
275,User_275
276,Manager_276
277,Analyst_277
278,User_278
279,User_279
280,User_280
281,Admin_281
282,User_282
283,Manager_283
284,User_284
285,Supervisor_285
286,Admin_286
287,Analyst_287
288,Supervisor_288
289,User_289
290,Manager_290
291,User_291
292,Analyst_292
293,Admin_293
294,Supervisor_294
295,Operator_295
296,Supervisor_296
297,Operator_297
298,Operator_298
299,Admin_299
300,Admin_300
301,Supervisor_301
302,Analyst_302
303,Admin_303
304,Admin_304
305,Operator_305
306,Admin_306
307,User_307
308,Manager_308
309,User_309
310,Operator_310
311,Analyst_311
312,Analyst_312
313,Admin_313
314,Supervisor_314
315,User_315
316,Supervisor_316
317,User_317
318,User_318
319,Operator_319
320,Analyst_320
321,Analyst_321
322,Admin_322
323,Admin_323
324,Admin_324
325,Supervisor_325
326,Admin_326
327,Manager_327
328,User_328
329,Admin_329
330,User_330
331,Manager_331
332,Analyst_332
333,Admin_333
334,Supervisor_334
335,User_335
336,Analyst_336
337,Analyst_337
338,Operator_338
339,Admin_339
340,Admin_340
341,Operator_341
342,Operator_342
343,Supervisor_343
344,User_344
345,Manager_345
346,Supervisor_346
347,Supervisor_347
348,Supervisor_348
349,User_349
350,Analyst_350
351,Analyst_351
352,User_352
353,Manager_353
354,User_354
355,User_355
356,User_356
357,Operator_357
358,User_358
359,User_359
360,Analyst_360
361,User_361
362,Analyst_362
363,Operator_363
364,Admin_364
365,Operator_365
366,User_366
367,Operator_367
368,Operator_368
369,Operator_369
370,Supervisor_370
371,Admin_371
372,Supervisor_372
373,Operator_373
374,Analyst_374
375,Supervisor_375
376,Manager_376
377,Admin_377
378,Operator_378
379,Admin_379
380,Analyst_380
381,Supervisor_381
382,Admin_382
383,Manager_383
384,Analyst_384
385,Admin_385
386,Supervisor_386
387,Admin_387
388,Analyst_388
389,User_389
390,Manager_390
391,Supervisor_391
392,Manager_392
393,Analyst_393
394,Supervisor_394
395,Admin_395
396,Operator_396
397,Admin_397
398,Analyst_398
399,User_399
400,Admin_400
401,Operator_401
402,User_402
403,Admin_403
404,User_404
405,User_405
406,User_406
407,Operator_407
408,Supervisor_408
409,Operator_409
410,User_410
411,Manager_411
412,User_412
413,Supervisor_413
414,Operator_414
415,Supervisor_415
416,Manager_416
417,Manager_417
418,Admin_418
419,User_419
420,Admin_420
421,Operator_421
422,Supervisor_422
423,Supervisor_423
424,Supervisor_424
425,Operator_425
426,Operator_426
427,Admin_427
428,Admin_428
429,Supervisor_429
430,Operator_430
431,Analyst_431
432,Analyst_432
433,Supervisor_433
434,Operator_434
435,Analyst_435
436,Supervisor_436
437,Analyst_437
438,User_438
439,Manager_439
440,Analyst_440
441,Operator_441
442,Analyst_442
443,User_443
444,User_444
445,Manager_445
446,Admin_446
447,Supervisor_447
448,Analyst_448
449,Manager_449
450,Admin_450
451,Admin_451
452,Analyst_452
453,Manager_453
454,Operator_454
455,Analyst_455
456,Operator_456
457,User_457
458,Admin_458
459,User_459
460,Operator_460
461,Supervisor_461
462,Supervisor_462
463,Admin_463
464,Admin_464
465,Operator_465
466,User_466
467,Operator_467
468,Manager_468
469,Admin_469
470,Analyst_470
471,Admin_471
472,Supervisor_472
473,Operator_473
474,User_474
475,Supervisor_475
476,Operator_476
477,Supervisor_477
478,Operator_478
479,Analyst_479
480,Operator_480
481,Manager_481
482,Analyst_482
483,Analyst_483
484,Admin_484
485,Analyst_485
486,Analyst_486
487,Admin_487
488,Analyst_488
489,Supervisor_489
490,Admin_490
491,User_491
492,Admin_492
493,Supervisor_493
494,User_494
495,Manager_495
496,Manager_496
497,Operator_497
498,Supervisor_498
499,Supervisor_499
500,Operator_500
501,Manager_501
502,Supervisor_502
503,User_503
504,User_504
505,Supervisor_505
506,Supervisor_506
507,Manager_507
508,Admin_508
509,Supervisor_509
510,User_510
511,Analyst_511
512,Operator_512
513,Admin_513
514,Analyst_514
515,Admin_515
516,Admin_516
517,Supervisor_517
518,User_518
519,Manager_519
520,Manager_520
521,Operator_521
522,User_522
523,Operator_523
524,User_524
525,Analyst_525
526,Analyst_526
527,Analyst_527
528,Manager_528
529,Supervisor_529
530,User_530
531,Supervisor_531
532,User_532
533,Supervisor_533
534,Manager_534
535,Manager_535
536,Manager_536
537,Analyst_537
538,User_538
539,User_539
540,Admin_540
541,Analyst_541
542,Operator_542
543,Admin_543
544,Operator_544
545,Operator_545
546,Manager_546
547,User_547
548,Operator_548
549,Supervisor_549
550,Analyst_550
551,Admin_551
552,Analyst_552
553,Operator_553
554,Supervisor_554
555,Analyst_555
556,Admin_556
557,Manager_557
558,Manager_558
559,Supervisor_559
560,Admin_560
561,Supervisor_561
562,Manager_562
563,Admin_563
564,Admin_564
565,Supervisor_565
566,Supervisor_566
567,User_567
568,Supervisor_568
569,Operator_569
570,Analyst_570
571,Operator_571
572,Supervisor_572
573,Admin_573
574,Analyst_574
575,Analyst_575
576,Supervisor_576
577,Analyst_577
578,Manager_578
579,Analyst_579
580,Admin_580
581,Supervisor_581
582,Manager_582
583,Manager_583
584,Admin_584
585,Analyst_585
586,Supervisor_586
587,Operator_587
588,Operator_588
589,User_589
590,Operator_590
591,User_591
592,Operator_592
593,Manager_593
594,User_594
595,Operator_595
596,Manager_596
597,Operator_597
598,Analyst_598
599,User_599
600,User_600
601,Supervisor_601
602,Admin_602
603,Supervisor_603
604,Admin_604
605,Analyst_605
606,Analyst_606
607,Admin_607
608,Manager_608
609,Manager_609
610,Admin_610
611,Operator_611
612,Manager_612
613,Analyst_613
614,Analyst_614
615,Manager_615
616,Manager_616
617,Manager_617
618,Analyst_618
619,Admin_619
620,Admin_620
621,Operator_621
622,Admin_622
623,Analyst_623
624,User_624
625,Operator_625
626,Operator_626
627,Operator_627
628,Supervisor_628
629,Admin_629
630,Operator_630
631,Manager_631
632,Analyst_632
633,Supervisor_633
634,Supervisor_634
635,Operator_635
636,Operator_636
637,Manager_637
638,Analyst_638
639,Manager_639
640,Operator_640
641,Admin_641
642,Operator_642
643,Admin_643
644,User_644
645,Operator_645
646,Admin_646
647,Admin_647
648,Operator_648
649,Operator_649
650,Analyst_650
651,User_651
652,Analyst_652
653,Supervisor_653
654,Analyst_654
655,Supervisor_655
656,Operator_656
657,User_657
658,Analyst_658
659,Operator_659
660,Supervisor_660
661,Manager_661
662,Manager_662
663,Analyst_663
664,Analyst_664
665,Supervisor_665
666,User_666
667,Admin_667
668,Supervisor_668
669,Operator_669
670,Admin_670
671,Analyst_671
672,Manager_672
673,Admin_673
674,User_674
675,Analyst_675
676,Analyst_676
677,Analyst_677
678,Operator_678
679,Operator_679
680,Supervisor_680
681,Operator_681
682,Operator_682
683,Supervisor_683
684,Manager_684
685,Supervisor_685
686,Manager_686
687,Analyst_687
688,Analyst_688
689,Manager_689
690,Supervisor_690
691,Supervisor_691
692,Manager_692
693,Admin_693
694,Operator_694
695,Analyst_695
696,Analyst_696
697,Manager_697
698,Admin_698
699,Supervisor_699
700,Admin_700
701,Supervisor_701
702,Admin_702
703,User_703
704,Admin_704
705,Supervisor_705
706,User_706
707,Admin_707
708,Admin_708
709,Operator_709
710,Analyst_710
711,Operator_711
712,Admin_712
713,Admin_713
714,Operator_714
715,Operator_715
716,User_716
717,Manager_717
718,Operator_718
719,Analyst_719
720,Analyst_720
721,Analyst_721
722,Analyst_722
723,Manager_723
724,Admin_724
725,Admin_725
726,Manager_726
727,Admin_727
728,User_728
729,Admin_729
730,Supervisor_730
731,Analyst_731
732,Manager_732
733,Manager_733
734,Analyst_734
735,Analyst_735
736,Admin_736
737,Analyst_737
738,Supervisor_738
739,Supervisor_739
740,User_740
741,Admin_741
742,Analyst_742
743,Operator_743
744,Manager_744
745,Admin_745
746,Analyst_746
747,Operator_747
748,User_748
749,Admin_749
750,Manager_750
751,User_751
752,Operator_752
753,Admin_753
754,User_754
755,Manager_755
756,Admin_756
757,Operator_757
758,Admin_758
759,Admin_759
760,User_760
761,Manager_761
762,User_762
763,Supervisor_763
764,Supervisor_764
765,Supervisor_765
766,Operator_766
767,User_767
768,Admin_768
769,Admin_769
770,Manager_770
771,Analyst_771
772,Supervisor_772
773,Admin_773
774,User_774
775,Admin_775
776,User_776
777,Analyst_777
778,Admin_778
779,Admin_779
780,Analyst_780
781,Supervisor_781
782,Manager_782
783,Supervisor_783
784,Operator_784
785,Analyst_785
786,Analyst_786
787,Manager_787
788,Supervisor_788
789,User_789
790,Admin_790
791,Manager_791
792,Analyst_792
793,Operator_793
794,Supervisor_794
795,Supervisor_795
796,Supervisor_796
797,Supervisor_797
798,User_798
799,Supervisor_799
800,User_800
801,Operator_801
802,Analyst_802
803,Manager_803
804,Manager_804
805,Admin_805
806,Supervisor_806
807,Admin_807
808,User_808
809,Supervisor_809
810,Manager_810
811,Supervisor_811
812,Operator_812
813,Supervisor_813
814,User_814
815,Supervisor_815
816,Admin_816
817,Operator_817
818,Supervisor_818
819,User_819
820,Operator_820
821,Analyst_821
822,User_822
823,Analyst_823
824,Manager_824
825,Analyst_825
826,Admin_826
827,Operator_827
828,Manager_828
829,Manager_829
830,Supervisor_830
831,User_831
832,Analyst_832
833,Manager_833
834,Manager_834
835,User_835
836,Manager_836
837,User_837
838,Manager_838
839,Manager_839
840,Manager_840
841,User_841
842,Operator_842
843,User_843
844,Manager_844
845,Analyst_845
846,Supervisor_846
847,Admin_847
848,Analyst_848
849,Manager_849
850,Supervisor_850
851,Operator_851
852,Operator_852
853,Manager_853
854,Supervisor_854
855,Manager_855
856,User_856
857,Operator_857
858,Analyst_858
859,Admin_859
860,Admin_860
861,User_861
862,Supervisor_862
863,Admin_863
864,Manager_864
865,Admin_865
866,Analyst_866
867,Manager_867
868,Analyst_868
869,Analyst_869
870,Analyst_870
871,Manager_871
872,Manager_872
873,User_873
874,Manager_874
875,Manager_875
876,Supervisor_876
877,Supervisor_877
878,User_878
879,User_879
880,Admin_880
881,Analyst_881
882,Manager_882
883,Analyst_883
884,User_884
885,Operator_885
886,Manager_886
887,Supervisor_887
888,Manager_888
889,Manager_889
890,Analyst_890
891,Supervisor_891
892,Analyst_892
893,User_893
894,Admin_894
895,Admin_895
896,Admin_896
897,Analyst_897
898,Analyst_898
899,Manager_899
900,Operator_900
901,User_901
